,Stability,Method
421,1181.2457275390625,shap
422,8310.49609375,shap
423,6004.501953125,shap
424,2132.08203125,shap
425,2390.5244140625,shap
426,825.1216430664062,shap
427,30945.984375,shap
428,8942.3779296875,shap
429,6232.50341796875,shap
430,1977.150146484375,shap
431,909.9631958007812,shap
432,32455.166015625,shap
433,3496.123779296875,shap
434,6949.60546875,shap
435,2041.9127197265625,shap
436,127952.75,shap
437,10844.1611328125,shap
438,11155.904296875,shap
439,49381.93359375,shap
440,2711.66845703125,shap
441,3191.2900390625,shap
442,27953.763671875,shap
443,6112.603515625,shap
444,9390.89453125,shap
445,4325.72021484375,shap
446,1122.3323974609375,shap
447,95695.109375,shap
448,10462.7490234375,shap
449,2560.88525390625,shap
450,7854.25146484375,shap
451,12145.470703125,shap
452,2628.89794921875,shap
453,1678.54345703125,shap
454,1978.5660400390625,shap
455,32197.708984375,shap
456,8513.02734375,shap
457,714.6194458007812,shap
458,7592.111328125,shap
459,1256.9598388671875,shap
460,33704.2265625,shap
461,230289.140625,shap
462,11202.017578125,shap
463,9207.849609375,shap
464,1911.9429931640625,shap
465,21849.98828125,shap
466,11348.9404296875,shap
467,7308.00341796875,shap
468,25654.98046875,shap
469,10614.90234375,shap
470,1151.730712890625,shap
471,1747.5255126953125,shap
472,712168.3125,shap
473,3252.125732421875,shap
474,8789.484375,shap
475,844.8678588867188,shap
476,1268.94921875,shap
477,2930.110595703125,shap
478,10100.8330078125,shap
479,7592.67724609375,shap
480,2468.1826171875,shap
481,44547.1484375,shap
482,296.0820617675781,shap
483,5655.283203125,shap
484,632.477783203125,shap
485,11460.8837890625,shap
486,9043.2451171875,shap
487,2888.564208984375,shap
488,5065.1552734375,shap
489,934.0386962890625,shap
490,137205.375,shap
491,1250.7974853515625,shap
492,2160.130615234375,shap
493,1794.3939208984375,shap
494,1562.92724609375,shap
495,37701.6640625,shap
496,24422.09765625,shap
497,4628.60986328125,shap
498,4368.2880859375,shap
499,592.8248291015625,shap
500,1252.4532470703125,lime005
501,1552.3468017578125,lime005
502,7137.89111328125,lime005
503,2825.098876953125,lime005
504,3061.70166015625,lime005
505,1899.0938720703125,lime005
506,777.6444702148438,lime005
507,10849.19921875,lime005
508,411.2294616699219,lime005
509,762.6937866210938,lime005
510,520.80859375,lime005
511,871.9157104492188,lime005
512,1177.0330810546875,lime005
513,1689.3282470703125,lime005
514,8077.908203125,lime005
515,26575.029296875,lime005
516,2201.696044921875,lime005
517,2301.850830078125,lime005
518,16718.814453125,lime005
519,1099.5015869140625,lime005
520,861.7553100585938,lime005
521,866.9186401367188,lime005
522,5101.24853515625,lime005
523,5470.02490234375,lime005
524,980.787353515625,lime005
525,1099.1290283203125,lime005
526,490.8857727050781,lime005
527,6899.9140625,lime005
528,5917.7802734375,lime005
529,5092.8603515625,lime005
530,796.0951538085938,lime005
531,618.6063842773438,lime005
532,11057.1044921875,lime005
533,2206.64892578125,lime005
534,3115.1630859375,lime005
535,5452.03369140625,lime005
536,156949.8125,lime005
537,5224.8349609375,lime005
538,1561.698974609375,lime005
539,17730.677734375,lime005
540,1748.240966796875,lime005
541,1897.94921875,lime005
542,14027.091796875,lime005
543,1403.732177734375,lime005
544,5222.515625,lime005
545,3599.932373046875,lime005
546,811.1552734375,lime005
547,37786.4375,lime005
548,9835.037109375,lime005
549,2821.863037109375,lime005
550,5342.681640625,lime005
551,6033.28369140625,lime005
552,1749.3062744140625,lime005
553,1172.2452392578125,lime005
554,381.25323486328125,lime005
555,18172.548828125,lime005
556,4623.11865234375,lime005
557,405.6205139160156,lime005
558,1647.647705078125,lime005
559,757.4736328125,lime005
560,19659.81640625,lime005
561,134530.359375,lime005
562,27051.001953125,lime005
563,15779.1650390625,lime005
564,1144.8206787109375,lime005
565,12836.2998046875,lime005
566,12306.1416015625,lime005
567,2392.7802734375,lime005
568,4079.847412109375,lime005
569,4867.08544921875,lime005
570,600.4027099609375,lime005
571,884.2896728515625,lime005
572,504906.375,lime005
573,4439.03466796875,lime005
574,10660.662109375,lime005
575,895.3187255859375,lime005
576,669.8255004882812,lime005
577,1569.143310546875,lime005
578,1934.300048828125,lime005
579,1548.190673828125,lime005
580,2088.833740234375,lime005
581,2587.3564453125,lime005
582,502.6655578613281,lime005
583,1498.0872802734375,lime005
584,631.98681640625,lime005
585,6331.03076171875,lime005
586,6395.43017578125,lime005
587,3211.765869140625,lime005
588,2521.470458984375,lime005
589,842.2076416015625,lime005
590,125143.3984375,lime005
591,1094.6256103515625,lime005
592,2749.63818359375,lime005
593,1990.9615478515625,lime005
594,508.02911376953125,lime005
595,19480.833984375,lime005
596,18012.43359375,lime005
597,8494.810546875,lime005
598,3569.62548828125,lime005
599,345.53057861328125,lime005
600,61573.203125,control
601,158933.03125,control
602,517528.125,control
603,36983.234375,control
604,94249.0625,control
605,173586.46875,control
606,29523.642578125,control
607,280219.53125,control
608,33607.51953125,control
609,115836.078125,control
610,16492.3984375,control
611,63097.68359375,control
612,36135.12890625,control
613,57548.00390625,control
614,619627.5625,control
615,2694966.25,control
616,166187.671875,control
617,42594.640625,control
618,301434.09375,control
619,29213.9140625,control
620,48767.81640625,control
621,29928.44921875,control
622,18904.17578125,control
623,659957.8125,control
624,52258.0234375,control
625,32606.5234375,control
626,58904.87890625,control
627,312037.84375,control
628,75812.3828125,control
629,497016.59375,control
630,38012.77734375,control
631,18380.654296875,control
632,755731.5,control
633,420848.6875,control
634,64830.9609375,control
635,58496.07421875,control
636,17464480.0,control
637,90067.640625,control
638,216274.328125,control
639,899107.5,control
640,23913.90234375,control
641,46626.66015625,control
642,177609.3125,control
643,166759.296875,control
644,221348.203125,control
645,118545.640625,control
646,40285.828125,control
647,2878058.5,control
648,480039.03125,control
649,89347.4296875,control
650,795970.75,control
651,317627.84375,control
652,153957.203125,control
653,74707.15625,control
654,189290.34375,control
655,2092331.625,control
656,105471.09375,control
657,201465.0625,control
658,802.9781494140625,control
659,50066.85546875,control
660,921733.9375,control
661,3337758.25,control
662,2109554.75,control
663,424651.625,control
664,122327.4921875,control
665,974905.6875,control
666,97865.390625,control
667,79223.328125,control
668,17676.13671875,control
669,213895.03125,control
670,26108.0,control
671,54693.5234375,control
672,20131276.0,control
673,260992.234375,control
674,176014.890625,control
675,30734.134765625,control
676,39248.90234375,control
677,116782.125,control
678,229230.46875,control
679,140179.234375,control
680,78809.7109375,control
681,5503289.0,control
682,15371.6396484375,control
683,72100.859375,control
684,17134.197265625,control
685,298504.125,control
686,128549.046875,control
687,245333.40625,control
688,207125.25,control
689,23359.236328125,control
690,3484370.0,control
691,51385.328125,control
692,86109.1171875,control
693,148023.328125,control
694,59861.51171875,control
695,802826.125,control
696,512715.8125,control
697,155147.421875,control
698,145213.125,control
699,30880.642578125,control
