,Faithfulness,Std_Deviation,Method
366,0.19033577,0.05,lime01
367,0.009631876,0.05,lime01
368,0.07027015,0.05,lime01
369,0.101879284,0.05,lime01
370,0.012472722,0.05,lime01
371,0.18730575,0.05,lime01
372,0.09602073,0.05,lime01
373,0.056461245,0.05,lime01
374,0.28261173,0.05,lime01
375,0.26885197,0.05,lime01
376,0.043294854,0.05,lime01
377,0.053346362,0.05,lime01
378,0.03552653,0.05,lime01
379,0.23919289,0.05,lime01
380,0.20853929,0.05,lime01
381,0.25223598,0.05,lime01
382,0.2526677,0.05,lime01
383,0.33137673,0.05,lime01
384,0.107762195,0.05,lime01
