,Faithfulness,Std_Deviation,Method
277,0.11127829,0.05,shap
278,0.019443644,0.05,shap
279,0.084382445,0.05,shap
280,0.016234703,0.05,lime003
281,0.046109147,0.05,lime003
282,0.2333842,0.05,lime003
283,0.09489411,0.05,lime003
284,0.078414746,0.05,lime003
285,0.026847191,0.05,lime003
286,0.2606103,0.05,lime003
287,0.14278337,0.05,lime003
288,0.1168171,0.05,lime003
289,0.071714275,0.05,lime003
290,0.14446992,0.05,lime003
291,0.26342195,0.05,lime003
292,0.19743969,0.05,lime003
293,0.17525497,0.05,lime003
294,0.023977501,0.05,lime003
295,0.2679074,0.05,lime003
296,0.19670784,0.05,lime003
297,0.024503319,0.05,lime003
298,0.10049442,0.05,lime003
299,0.24299188,0.05,lime003
300,0.10081435,0.05,lime003
301,0.14151351,0.05,lime003
302,0.24474981,0.05,lime003
303,0.22762953,0.05,lime003
304,0.07766859,0.05,lime003
305,0.03492653,0.05,lime003
306,0.16173057,0.05,lime003
307,0.16761339,0.05,lime003
308,0.25102314,0.05,lime003
309,0.26670173,0.05,lime003
310,0.24619122,0.05,lime003
311,0.25147587,0.05,lime003
312,0.14623521,0.05,lime003
313,0.023593597,0.05,lime003
314,0.083682254,0.05,lime003
315,0.0187464,0.05,lime005
316,0.055463813,0.05,lime005
317,0.29097247,0.05,lime005
318,0.11331624,0.05,lime005
319,0.11720702,0.05,lime005
320,0.030573158,0.05,lime005
321,0.27914643,0.05,lime005
322,0.13168421,0.05,lime005
323,0.16496119,0.05,lime005
324,0.047990523,0.05,lime005
325,0.12568812,0.05,lime005
326,0.28585136,0.05,lime005
327,0.15989384,0.05,lime005
328,0.1751512,0.05,lime005
329,0.01459581,0.05,lime005
330,0.26941118,0.05,lime005
331,0.20458853,0.05,lime005
332,0.03422107,0.05,lime005
333,0.102491446,0.05,lime005
334,0.24668668,0.05,lime005
335,0.09768877,0.05,lime005
336,0.117779434,0.05,lime005
337,0.24816066,0.05,lime005
338,0.19407354,0.05,lime005
339,0.08973269,0.05,lime005
340,0.029431462,0.05,lime005
341,0.14020137,0.05,lime005
342,0.15982763,0.05,lime005
343,0.21143693,0.05,lime005
344,0.23833556,0.05,lime005
345,0.2685074,0.05,lime005
346,0.25641164,0.05,lime005
347,0.13932842,0.05,lime005
348,0.011769252,0.05,lime005
349,0.079445064,0.05,lime005
350,0.02224294,0.05,lime01
351,0.05204432,0.05,lime01
352,0.28441608,0.05,lime01
353,0.13753304,0.05,lime01
354,0.10311843,0.05,lime01
355,0.04022098,0.05,lime01
356,0.25518763,0.05,lime01
357,0.16399056,0.05,lime01
358,0.11676319,0.05,lime01
359,0.06525627,0.05,lime01
360,0.121390365,0.05,lime01
361,0.24863109,0.05,lime01
362,0.18322715,0.05,lime01
363,0.19219938,0.05,lime01
364,0.027687723,0.05,lime01
365,0.27379128,0.05,lime01
366,0.17727986,0.05,lime01
367,0.043415774,0.05,lime01
368,0.099276535,0.05,lime01
369,0.25677302,0.05,lime01
370,0.11948091,0.05,lime01
371,0.14234096,0.05,lime01
372,0.27763712,0.05,lime01
373,0.1866082,0.05,lime01
374,0.10628448,0.05,lime01
375,0.03512712,0.05,lime01
376,0.16848038,0.05,lime01
377,0.13934393,0.05,lime01
378,0.24112734,0.05,lime01
379,0.23158085,0.05,lime01
380,0.24101964,0.05,lime01
381,0.22528943,0.05,lime01
382,0.13524073,0.05,lime01
383,0.023907982,0.05,lime01
384,0.087748416,0.05,lime01
